I, [2019-04-08T13:44:46.782644 #10233]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-04-08T13:44:46.784681 #10233] ERROR -- Kitchen: ------Exception-------
E, [2019-04-08T13:44:46.784712 #10233] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-04-08T13:44:46.784726 #10233] ERROR -- Kitchen: Message: Kitchen YAML file /home/ec2-user/environment/.kitchen.yml does not exist.
E, [2019-04-08T13:44:46.784738 #10233] ERROR -- Kitchen: ----------------------
E, [2019-04-08T13:44:46.784748 #10233] ERROR -- Kitchen: ------Backtrace-------
E, [2019-04-08T13:44:46.784757 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-04-08T13:44:46.784768 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-04-08T13:44:46.784778 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-04-08T13:44:46.784788 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-04-08T13:44:46.784797 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-04-08T13:44:46.784807 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-04-08T13:44:46.784817 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-04-08T13:44:46.784827 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-04-08T13:44:46.784836 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-04-08T13:44:46.784846 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2019-04-08T13:44:46.784856 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2019-04-08T13:44:46.784866 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-04-08T13:44:46.784875 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-04-08T13:44:46.784934 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-04-08T13:44:46.784952 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-04-08T13:44:46.784962 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-04-08T13:44:46.784972 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-04-08T13:44:46.784981 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-04-08T13:44:46.784991 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-04-08T13:44:46.785001 #10233] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-04-08T13:44:46.785011 #10233] ERROR -- Kitchen: /usr/bin/kitchen:306:in `load'
E, [2019-04-08T13:44:46.785020 #10233] ERROR -- Kitchen: /usr/bin/kitchen:306:in `<main>'
E, [2019-04-08T13:44:46.785030 #10233] ERROR -- Kitchen: ----End Backtrace-----
